Time,time,team,towers,team_gold,team_kills,top_kill,top_death,top_assist,top_gold,jungle_kill,jungle_death,jungle_assist,jungle_gold,mid_kill,mid_death,mid_assist,mid_gold,bot_kill,bot_death,bot_assist,bot_gold,supp_kill,supp_death,supp_assist,supp_gold
88,01:28,STM,0,5700,0,0,1,0,1096,0,0,0,1132,0,0,0,1261,0,0,0,1271,0,0,0,901
88,01:28,JDG,0,6500,1,1,0,0,1646,0,0,0,1168,0,0,0,1451,0,0,0,1248,0,0,0,1023
89,01:29,STM,0,5800,0,0,1,0,1100,0,0,0,1136,0,0,0,1369,0,0,0,1274,0,0,0,904
89,01:29,JDG,0,6600,1,1,0,0,1649,0,0,0,1172,0,0,0,1454,0,0,0,1252,0,0,0,1027
90,01:30,STM,0,5800,0,0,1,0,1103,0,0,0,1139,0,0,0,1373,0,0,0,1318,0,0,0,908
90,01:30,JDG,0,6600,1,1,0,0,1653,0,0,0,1175,0,0,0,1458,0,0,0,1255,0,0,0,1030
91,01:31,STM,0,5900,0,0,1,0,1107,0,0,0,1143,0,0,0,1376,0,0,0,1321,0,0,0,911
91,01:31,JDG,0,6600,1,1,0,0,1656,0,0,0,1179,0,0,0,1461,0,0,0,1259,0,0,0,1034
92,01:32,STM,0,6000,0,0,1,0,1175,0,0,0,1176,0,0,0,1380,0,0,0,1325,0,0,0,915
92,01:32,JDG,0,6600,1,1,0,0,1660,0,0,0,1182,0,0,0,1465,0,0,0,1262,0,0,0,1037
93,01:33,STM,0,6100,0,0,1,0,1179,0,0,0,1282,0,0,0,1383,0,0,0,1328,0,0,0,918
93,01:33,JDG,0,6600,1,1,0,0,1663,0,0,0,1186,0,0,0,1468,0,0,0,1266,0,0,0,1041
94,01:34,STM,0,6200,0,0,1,0,1182,0,0,0,1285,0,0,0,1472,0,0,0,1332,0,0,0,922
94,01:34,JDG,0,6600,1,1,0,0,1667,0,0,0,1189,0,0,0,1472,0,0,0,1269,0,0,0,1044
95,01:35,STM,0,6200,0,0,1,0,1189,0,0,0,1292,0,0,0,1479,0,0,0,1339,0,0,0,929
95,01:35,JDG,0,6700,1,1,0,0,1674,0,0,0,1196,0,0,0,1479,0,0,0,1276,0,0,0,1051
96,01:36,STM,0,6200,0,0,1,0,1193,0,0,0,1296,0,0,0,1482,0,0,0,1342,0,0,0,932
96,01:36,JDG,0,6700,1,1,0,0,1677,0,0,0,1200,0,0,0,1482,0,0,0,1280,0,0,0,1055
98,01:38,STM,0,6300,0,0,1,0,1196,0,0,0,1299,0,0,0,1486,0,0,0,1346,0,0,0,936
98,01:38,JDG,0,6700,1,1,0,0,1681,0,0,0,1203,0,0,0,1486,0,0,0,1283,0,0,0,1058
99,01:39,STM,0,6300,0,0,1,0,1200,0,0,0,1303,0,0,0,1489,0,0,0,1349,0,0,0,939
99,01:39,JDG,0,6800,1,1,0,0,1684,0,0,0,1207,0,0,0,1554,0,0,0,1287,0,0,0,1062
100,01:40,STM,0,6300,0,0,1,0,1243,0,0,0,1306,0,0,0,1493,0,0,0,1353,0,0,0,943
100,01:40,JDG,0,6900,1,1,0,0,1703,0,0,0,1210,0,0,0,1623,0,0,0,1290,0,0,0,1065
101,01:41,STM,0,6400,0,0,1,0,1247,0,0,0,1310,0,0,0,1561,0,0,0,1356,0,0,0,946
101,01:41,JDG,0,7000,1,1,0,0,1707,0,0,0,1214,0,0,0,1666,0,0,0,1294,0,0,0,1069
102,01:42,STM,0,6600,0,0,1,0,1250,0,0,0,1313,0,0,0,1565,0,0,0,1445,0,0,0,992
102,01:42,JDG,0,7100,1,1,0,0,1710,0,0,0,1337,0,0,0,1670,0,0,0,1297,0,0,0,1072
103,01:43,STM,0,6600,0,0,1,0,1254,0,0,0,1317,0,0,0,1633,0,0,0,1448,0,0,0,996
103,01:43,JDG,0,7100,1,1,0,0,1714,0,0,0,1341,0,0,0,1673,0,0,0,1301,0,0,0,1076
104,01:44,STM,0,6700,0,0,1,0,1257,0,0,0,1320,0,0,0,1637,0,0,0,1452,0,0,0,999
104,01:44,JDG,0,7200,1,1,0,0,1717,0,0,0,1344,0,0,0,1717,0,0,0,1304,0,0,0,1079
105,01:45,STM,0,6800,0,0,1,0,1261,0,0,0,1324,0,0,0,1640,0,0,0,1520,0,0,0,1035
105,01:45,JDG,0,7200,1,1,0,0,1721,0,0,0,1348,0,0,0,1720,0,0,0,1308,0,0,0,1083
106,01:46,STM,0,6800,0,0,1,0,1264,0,0,0,1327,0,0,0,1684,0,0,0,1524,0,0,0,1039
106,01:46,JDG,0,7300,1,1,0,0,1789,0,0,0,1351,0,0,0,1724,0,0,0,1311,0,0,0,1086
107,01:47,STM,0,6900,0,0,1,0,1268,0,0,0,1331,0,0,0,1687,0,0,0,1527,0,0,0,1042
107,01:47,JDG,0,7300,1,1,0,0,1858,0,0,0,1355,0,0,0,1727,0,0,0,1315,0,0,0,1090
108,01:48,STM,0,6900,0,0,1,0,1271,0,0,0,1334,0,0,0,1731,0,0,0,1531,0,0,0,1046
108,01:48,JDG,0,7400,1,1,0,0,1861,0,0,0,1358,0,0,0,1731,0,0,0,1318,0,0,0,1093
109,01:49,STM,0,6900,0,0,1,0,1278,0,0,0,1341,0,0,0,1738,0,0,0,1538,0,0,0,1053
109,01:49,JDG,0,7500,1,1,0,0,1868,0,0,0,1365,0,0,0,1738,0,0,0,1390,0,0,0,1133
110,01:50,STM,0,7100,0,0,1,0,1282,0,0,0,1345,0,0,0,1741,0,0,0,1606,0,0,0,1089
110,01:50,JDG,0,7600,1,1,0,0,1912,0,0,0,1369,0,0,0,1741,0,0,0,1394,0,0,0,1136
112,01:52,STM,0,7100,0,0,1,0,1285,0,0,0,1348,0,0,0,1745,0,0,0,1610,0,0,0,1092
112,01:52,JDG,0,7600,1,1,0,0,1915,0,0,0,1372,0,0,0,1745,0,0,0,1397,0,0,0,1140
